what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.svn.core,0.7.9.I20100512-1900,"org.eclipse.team.svn.core",1346721187754
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20100512-1900,"org.eclipse.team.svn.mylyn",1346721187754
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20100512-1900,"org.eclipse.team.svn.revision.graph",1346721187754
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui",1346721187754
started,bundle,org.polarion.eclipse.team.svn.connector.javahl15,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.javahl15",1346721187754
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.javahl16",1346721187755
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.svnkit15",1346721187755
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1346721187755
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1346721187755
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1346721187755
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1346721187755
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1346721187755
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1346721187755
started,bundle,com.google.appengine.eclipse.core,1.3.2.v201003242055,"com.google.appengine.eclipse.core",1346721187755
started,bundle,com.google.gdt.eclipse.core,1.3.2.v201003242055,"com.google.gdt.eclipse.core",1346721187755
started,bundle,com.google.gdt.eclipse.platform.shared,1.3.2.v201003242055,"com.google.gdt.eclipse.platform.shared",1346721187755
started,bundle,com.google.gdt.eclipse.suite,1.3.2.v201003242055,"com.google.gdt.eclipse.suite",1346721187755
started,bundle,com.google.gwt.eclipse.core,1.3.2.v201003242055,"com.google.gwt.eclipse.core",1346721187755
started,bundle,org.eclipse.ecf.docshare,2.1.0.v20090916-2238,"org.eclipse.ecf.docshare",1346721187755
os,sysinfo,,,"solaris",1346721187759
arch,sysinfo,,,"sparc",1346721187759
ws,sysinfo,,,"gtk",1346721187759
locale,sysinfo,,,"sv_SE",1346721187759
processors,sysinfo,,,"8",1346721187760
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346721187760
java.runtime.version,sysinfo,,,"1.6.0_33-b03",1346721187760
java.specification.name,sysinfo,,,"Java Platform API Specification",1346721187760
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346721187760
java.specification.version,sysinfo,,,"1.6",1346721187760
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1346721187760
java.version,sysinfo,,,"1.6.0_33",1346721187760
java.vm.info,sysinfo,,,"mixed mode, sharing",1346721187760
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1346721187760
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346721187760
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346721187760
java.vm.specification.version,sysinfo,,,"1.0",1346721187760
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346721187760
java.vm.version,sysinfo,,,"20.8-b03",1346721187760
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1346721191736
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1346721191741
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1346721191756
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1346721191756
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1346721191812
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1346721191816
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1346721194889
started,bundle,org.eclipse.contribution.weaving.jdt,2.1.0.e35x-20100615-0800,"org.eclipse.contribution.weaving.jdt",1346721195083
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1346721195726
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1346721195896
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1346721195977
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1346721195979
started,bundle,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse",1346721196203
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1346721199887
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1346721201851
started,bundle,org.tmatesoft.svnkit,1.3.2.6267,"org.tmatesoft.svnkit",1346721201867
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1346721202317
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1346721202324
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1346721205903
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.properties",1346721218595
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1346721218616
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1346721220911
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1346721220953
